word,definition
xolông,float
xôluã,convenient
xoluh,"Go ahead, overtake, take the lead"
xolung,Ditch
"xolung, xăng ",Cutlass
xomet,Bat
xomiet,Gleanings
xôn,"Strong, firm"
xonà,Food
xônă,"Nature, naturally"
xonang,Tomb
xôneẽp,"Peaceful, quiet, happy, carefree"
xongah,"oath, swear"
xônglieng,shoulder
xonglông,stars
xongom,Reduce
xongon,"Sad, distressed"
xônher mat,Squinty
xonhuol,Net
xonir,Comb
xonit,"Alarmed, worried, alarmed"
xonôm,paper roll
xônong,"Share, portion."
xonong ko,"Rather than, preferably, comparatively"
xôoi,Mushrooms 
xopo,Tusks
xopuih,Sweep
xôr,Nauseous
xorâm,"Abundance, abundantly."
xore,in debt
kôrék,"Mow, cut, slice"
xoreng,Dry
xorep,"Secret, hidden"
xori,Tin
xôril,"resent, balk"
xoring,Put on
"xoring-xorong, jolà  ",Thorn
xorôi,down
xoroih,Early
xorôŭk,"Vermin, ringworm"
xorol,illuminate
xorong,preserve
xorog,"Distracted, preoccupied"
xoro,"Dried up, exhausted"
xoruh,"Less, lower, worse"
xorut,spill
xotă,"Tangled, intertwined hair, beard"
xôtăng,"Upright, sincere, true, frank"
xotâp,sink in
xouh,Overflow
xoxing,itching
xu,Stir up
xun,Swelling
xung,Chopped
xuôn,climb
"xut, txut","Wipe, clean"
xut,Bee
xu xi,"Trampling, crushing"
xù,Conserve
ajât,enemy.
"ajum, pojum","Together, in common."
"akop, pokôp","pair, couple, unite, reunite"
akôta,"On the spot, in the same place, at the same time."
beh,Getting used to
bek,"Fat, obese, overweight"
bel,"In the future, later, one day"
beng,full
bou,mention
bôbeh,Whispering
bolang,"Expose, explain"
bonak,sapwood
dôl,"support, prop up"
dôgrop,unite
ech,Basil
gau,"Others, strangers"
glom,throw
golung golang,In abundance
gonõom,trunk
goxok,"Troubled, muddled, confused"
"guôt, toguôt","Bind, tie"
hadrek,seed
hară,"Separately, personal, own"
hlang,bees
hmoi,"lament, moan"
"hôdé, kolôk",Bamboo
hôơia,"Accomplished, perfect"
hôngẻm,moist
kodop,"hidden, masked, under cover"
kôdot,"Prevented, arrested"
kômong,"soft, flabby"
kon,"Conjecture, augur, presume"
"loma, roma",fat
lomuon,"soft, flexible"
mo,"Lowing, bellowing"
odro,"haggle, trade"
"nâr, nor",mouthful
ôi,guava
ôreng,Big van
riu,awake
ôxai.,"Fishhook, angling"
pogrop,"Unite, reunite, assemble"
pohach,"melt, liquefy"
"pohôp, pohôp",brag
porang,Shine
rochâng,Insightful
"rôh, rioh",Root
roih,Choose
"rolat, halat",Flooding
ronak,weapons
rongal,Sleep
ropiet,Language
rouah,"opening, hole"
târ,Braid
tir,squirrel
"tôbeng, tobenh",Fill
tobreng,Lose temper
tôpu,"Nest, make nest"
la ô,"Boast, publish"
