word,definition
tơja tơhlăk tơhlăk,stammer
tơjắt,fold
tơjắt,fold
tơjĕng,debate
tơjil,butt
kơ̆l,head
tơjil kơ̆l,butt
tơjil,hit
kơ̆l,head
tơjil kơ̆l,butt
tơjrăng,oppose
tơjroh tơjot,emulate
tơjrưm,meet
tơjrưm,contact
tơpau,meet
tơpau,contact
tơkal,plead
tơkach tơkal,plead
tơkan,to
tơkan,toward
tơkan,toward
tơkai,deny
tơkai,deny
tơklah,belt
tơklah,belt
tơklep,near
tơklep,near
tơkot,lizard
tơkơĭ,reef
tơkơĭ,waterfall
tơkơn,press
tơkơn,overlap
tơkul tơkul,turbulent
tơkul kơtăng,kneel
tơlach,argue
tơlach tơ'bơ̆l,quarrel
tơlah,breakup
tơlĕi,string
tơlĕi,string
tơlĕi bri,vine
tơliê̆,flute
tơliê̆,flute
tơ'lôp,gourd
tơ'lôp,gourd
tơm,rock
tơmo,rock
tơm tơmo,rock
tơm,root
'long,tree
tơm 'long,root
tơmam ram,goods
tơmam ram,goods
tơmam ram,things
tơmang,visit
tơmăn,by
tơmăn,flat
tơmăn 'ba,rice
tơme rong,care
tơmo,kick
tơmo,stone
tơmoi,guest
tơmon,fist
ngoh,rice
tơmon ngoh,fistful
'yĕr,chicken
tơmông,cock
'yĕr tơmông,rooster
tơmuh,hammer
tơmuh,hammer
tơmunh,later
tơmunh,later
tơmưt,feed
tơmưt,insert
tơ'măk,hang
tơneh,papaya
tơngăng,poison
yan,season
tơngiêt,winter
yan tơngiêt,winter
tơnglaih jul,summer
tơnglaih jul,descend
tơnglơ̆i,generation
tơnglơ̆i,however
tơnglơ̆p,button
tơnglơ̆p,button
tơngơih,groan
tơnglơ̆p,groan
tơnhul tơ teh,plunge
tơnhul tơ teh,plunge
tơniêu,kidney
tơniêu,kidney
tơnŏ,hot
tơnŏ,warm
tơnŏ tơnang,warm
tơnơl,foundation
hnam,house
tơnơl hnam,floor
tơnơm,dust
'long,tree
tơnơm 'long,bush
tơnơm,cluster
'long,tree
tơnơm 'long,grove
tơnuh,kitchen
tơnuh ŭnh,ash
tơ'ngiêt,cold
lơngoh,cold
tơ'nglaih,release
tơ'nglaih,release
wơ̆i,at
tơ-ơ̆u,here
wơ̆i tơ-ơ̆u,here
tơpa,turtle
tơpa,turtle
tơpal,mortar
tơpang jưng,foot
tơpang ti,hand
tơpanh,lip
liêm,beautiful
tơpă,very
liêm tơpă,gorgeous
tơpă,very
liêm,beautiful
liêm tơpă,very beautiful
tơpăt,straight
tơpăt klak,honest
tơpăt klak,honest
tơpắt tơpe,straight
tơpĕnh,jump
tơpĕnh,rush
tơplih,exchange
tơploh,jump
ka,fish
ka tơploh,leap
tơploh,splash
ka,fish
ka tơploh,splash
tơplŏk,balloon
tơplŏk,burst
tơplŏk,speed
tơplŏk,speedup
tơplơ̆,speed
tơplơ̆,speedup
tơpơh,seven
7,seven
tơprah,overflow
tơprah,radiate
tơprah,radiate
tơlang,radiate
tơlang,radiate
tơpu,nest
kŏ,dog
tơpu kŏ,kennel
tơpu,nest
sem,bird
tơpu sem,nest
tơpu,nest
kŏ,dog
tơpu kŏ,pack
tơpu,nest
sem,bird
tơpu sem,nest
tơpul,flock
kơpô,buffalo
tơpul kơpô,herd
tơpul,flock
'yĕr,chicken
tơpul 'yĕr,flock
tơpul,flock
sem,bird
tơpul sem,flock
tơpôl,flock
sem,bird
tơpôl sem,flock
tơsĭ,sea
tơsu,chaos
tơtam,timely
wĕi,at
tơ to,there
wĕi tơ to,there
tơtông,thief
tơtông,robber
tơsĕnh,Tet
tơsĕnh,braid
tơtra pơđam,discuss
tơtreh,splash
đak,water
tơtreh đak,splash
tơtuanh,twist
tơtuh,hold
tơwang,around
tơwĕch,crooked
tơwĕch tơwŏch,crooked
tơwih,this
tơwing,strike
tơwing,swipe
tơwơih,sly
tơyăn,sponge
tơyăn tăng,balsam pear
wơ̆i,at
tơyơ,where
wơ̆i tơyơ,where
năm,go
tơyơ,where
năm tơyơ,whereto
tơ'yung,wave
kơ,flag
tơ'yung kơ,wave
tơ'yung sŏk,ruffled
tơ-uh sơhngơ̆m,breathe
tơ̆k bơk,amidst
tơ̆k bơ̆k,heart
krong,river
tơ̆k bơ̆k krong,midstream
tơ̆k ŭnh,light
đen,lamp
tơ̆k ŭnh đen,light
soh,light
đen,lamp
soh đen,light
tơ̆l,enough
tơ̆l,full
tơ̆l tai,full
tơ̆l,answer
tơ̆l,say
tơ̆l,resonate
tơ̆m,stab
tơ̆ng,if
tơ̆ng,if
mơtơ̆ng,if
mơtơ̆ng,if
tơ̆p,volume
sơ̆p hla bơ-al,book
tơ̆p sơ̆p hla bơ-al,book
tơ̆t ti,glove
trach diêu,blame
trah,carve
tram xa,clinic
tram sa,clinic
trang,wipe
trang,mop
'long trang,wipe
'long trang,mop
trăp,heavy
trău,taro
triêng,cane
sơdrô,alcohol
triêng sơdrô,cocktail
trom,faucet
trom,faucet
trong,road
trong,path
trong glung,road
trong tĭh,road
trong uôh,trail
trong đak,gutter
trong kial,draft
trong pham,blood vessel
trŏ,correct
trŏ,hit
trŏch,shave
trôk,mud
trôm,hole
trôm,cave
trôm đon,earhole
trôm gôp,cave
trôm hlŏng đak,sewer
trôm muh,nostril
trơi 'bơ̆l,lip
truh,to
truh,to
trương,school
tu,source
đak,water
tu đak,watersource
tuaih,jar
tuaih,basket
tuaih,basket
tuanh đak,squeeze
tuh,butt
tuh,pour
đak,water
tuh đak,pour
hling,pour
đak,water
hling đak,pour
tuh 'bơt,strain
đak,water
tuh 'bơt đak,strain
hling 'bơt,strain
đak,water
hling 'bơt đak,strain
tuk,discard
tuk,discard
tuk,subtract
tuk kơso,discard
tuk mŏm,wean
tul,punch
tung,carry
tuộch,end
tuôi,carry
tuôih,agriculture
tuôt,stamen
pơkau,flower
tuôt pơkau,stamen
tuơ̆n,week
tưk khưk,chameleon
đak,water
tưng,stagnant
đak tưng,puddle
uôl iêl,clean
ŭnh,fire
ŭnh hnam,family
ŭnh sa bri,wildfire
uĕi,sit
uĕi ha,leisurely
uĕi ha,idle
uĕi kah,stop
uĕi lơnŭn,naked
uĕi sreh,peaceful
uĕi teh,squat
ư,grandparent
ư,great-grandparents
ư̆,yes
ư̆m,gloomy
wai,spider
waih,wave
wal,meal
ngoh,rice
wal ngoh,meal
wang akŏm,shove
wang rTôp,surround
wang rTôp,besiege
wau,rush
Wau wau,rush
wă,want
wă,love
wă,intend
pơm,do
wă pơm,intend
wă nưih,catch
wă nưih,timely
wă 'moih,desire
wă tep,sleepy
wăi,hold
wăi,protect
wăi rong,protect
jư,protect
wäk,stand
plăi,fruit
wäk plăi,stand
wăi,wrap
che,scarf
wăi che,wrap
wăi,wrap
che,scarf
wăi che,wrap
wăng,sickle
wăng,sickle
we,draw
chih,paint
weh,askew
weh,turn
trong,road
trong weh,turn
sơlah,branch
trong,path
trong sơlah,turn
wêch,literature
wêch 'long,twig
wêl wêl,echo
wêng trong,lost
wi 'ban sa,committee
priêu,back
wih,return
sưt,home
wih piêu,return
wih rŏng,retreat
wơih,patch
ngoh,rice
wơih ngoh,patch
wơih,wave
ti,hand
wơih ti,wave
wơih,grope
ti,hand
wơih ti,grope
wơl,stir
wơl,stir
wơl,stir
wơ̆l,wide
yaih,demolish
hnam,house
yaih hnam,demolish
yaih tŭk,destroy
yak,step
yak,step
yak,step
yak,walk
yak năm,step
yak năm,walk
yan,season
khĕi,season
yan 'mi,rainy
yan lơngưp,autumn
yan puih,spring
yan tŏ phang,summer
yan tŏ phang,summer
yan tơngiêt,winter
khăi tơngiêt,winter
yang,god
yang,saint
yang đak,watergod
yang kông,mountaingod
yang plĕnh,skygod
yap,count
yă,grandmother
yă aguôt,scorpion
yä 'bok,ancestor
yă kơsŏng,shrimp
yă kơsŏng,shrimp
yă kơtĕi,shrimp
yă kơtĕi,shrimp
yă 'ngok,chrysalis
yă 'ngok,chrysalis
yă ư,grandmother
yă yai,toad
yă yai,toad
yă yang,fairy
văh,if
yok ja,ash
yok 'long ŭnh,ash
yol,rabies
yol,rabies
'yŏng,hen
'yĕr,hen
'yĕr 'yŏng,hen
yŏng kră sut,prince
yôm,wet
yôm,soaked
đak,water
yôm đak,waterproof
yôm yŏch,drenched
yôp,grin
yơh,please
yơl,tall
yơl,height
yuăn,Viet
yuăn,Viet
yuh ŭnh,ginger
yui,shade
yui,shade
yui,shadow
yul,bib
lơmo,cow
yul lơmo,bib
yuô lơnhư,why
yuô yưng,why
yuô,because
kơna,so
yưm,purple
yưm,bruise
yưng,what
yưng,what
'yem,you
'yĕr,chicken
'yềr bri,pheasant
'yĕr tơ'mông,rooster
'yĕr yŏng,hen
'yoh ai,shame
'yol,flow
đak,water
đak 'yol,water
'yol blai,gush
'yol blai,gush
'yŏk,take
'yŏk,receive
'yŏk adrol,borrow
'yŏk adrol,borrow
'yŏk 'bơt,reduce
'yŏk 'bơt,reduce
'yŏk dơ̆ng,scoop
'yŏk jên ruôt tơmam,spend
'yŏk 'long ŭnh,gather
'yŏk pơnưp,tease
'yŏk chơtŭ,tease
'yŏk tơlêch,remove
'yŏk tơgah,remove
yôp,suck
'yôt gơdung,bend
'yôt gơdung,bend
'yung,rise
'yung đưng tep,wake
'yung hral,wake
'yŭ,fear
'yŭ,panic
thi sa,town
thanh phô̆,city
ami phun,drizzle
jĭêng,well
yua,because
bĭ ơĭ 'long,barrenhill
,
thơĭ gian,time
,
khĕi minh,January
khĕi minh,January
khĕi 'bal,February
khĕi pêng,March
khĕi puôn,April
khĕi pơđăm,May
khĕi dơdrơ̆u,June
khĕi tơpơh,July
khĕi tơhngam,August
khĕi sin,September
khĕi minh jĭt,October
khĕi minh jĭt minh,November
khĕi minh jĭt 'bal,December
phŭt,minute
giây,second
tuân lê,week
'long pơtăm,plant
đô sa,dish
cao su,rubber
kumi,noodle
'bơi lơi,nonsense
keo,glue
cao su,rubber
tơbăng kram,bamboo shoot
điên trŭk,bamboo
chanh dây,passion fruit
măc ca,macadamia
hơbo,corn
vưng,sesame
đâu phung,peanut
hla nhêm,vegetable
đâu đô,bean
rim,various
loai,types
srơ̆p,wear
au,clothes
srơ̆p au,wear
srơ̆p,wear
srơ̆p au,wear
au,clothes
pơkau,flower
arih,fresh
pơkau arih,flowers
pơkau arih,flowers
arih,fresh
pơkau,flower
văn hŏk,literature
nghê thuât,art
tơdrong kră sơ̆,fairytales
kră sơ̆,fairytales
tơdrong,stories
tơdrong,stories
văn hoa,culture
thông tin,information
tai chĭnh,finance
tai nguyên,resources
môi trương,environment
'yăo 'yŭk,education
đao tao,training
kơjung,increase
dăm 'long,veneer
gach nung,brick
gach,brick
nung,fired
jơ̆u,oil
jơ̆u thưc vât,vegetable oil
hơ'bu 'lơ̆p,bud
wă tơ bơ̆l,love
xe may,motorcycle
ti vi,television
ra-đi-o,radio
ra-đi-o,radio
ra-đi-o,radio
ra-đi-o,station
lơm,to
quy hoach,planning
thuy lơi,irrigation
điên,electricity
bưu điên,post
y tê,health
an ninh,security
trât tư,order
xa hôi,society
đơn vĭ,unit
đo,measure
chđeh teh,area
trong lương,weight
vi tri,location
tôt nghiêp,graduate
môn hok,subject
'bang,board
phơ̆ng,chalk
điêm,point
sô̆ lươ̆ng,quantity
tên,name
yiên viên,actor
'bỡl krau,call
'bỡl,sound
krau,call
đuôĭ,opponent
nôi,internal
ngoai,external
trong năm,traffic
nghê,profession
kuaĭ,pierce
arah,bedbug
chich,sting
hut,suck
kơtă,sap
tơkư,break
hơ'bu,bud
tia,prune
tơ'bra,branch
pơm,create
gơdai,crown
nghiêng,leaning
tơkư,broken
vu,incident
tam,temporary
jư,hold
xe,vehicle
ô tô,car
xe ô tô,car
hlak ake,horn
jơrông khoang,cavity
jơrông,insect
khoang,cavity
la,is
sa,eat
sa tap,omnivorous
nâu,brown
găm,black
ơĭ,have
vêt,scar
grông,big
kăp,bite
kơtêch,broken
ngang,across
tuai,backpack
'yĕ,small
loi,smallest
liêm,beautiful
uĕi,in
apung kông,mountainous
pơgloh,special
rim,some
thung lung,valleys
sinh viên,student
thŭ,rent
hnam,house
phai,must
duh,complete
pơdriêu,return
pơdriêu,return
tơdrong,content
cu thê,specific
HCM,Ho Chi Minh
'bai hŏk,lesson
'bai,essay
lich sư,history
đunh pơgloh,latest
chơ̆m thi,grading
chơ̆m 'bai,grading
rim,the
tham kuan,sightseeing
giao lưu,exchange
'biêu diên,performance
phai,must
đĕi,allowed
trang tri,decorated
liêm,beautiful
văn minh,civilized
lich sư,polite
thươ̆k,ruler
kĭch thươ̆k,size
chiêŭ,screening
phim,film
đơt,batch
adrech kon kơng,ethnic
Vĭt Nam,Vietnam
noh,main
la,is
ka chep,carp
gion,crispy
adrĭng,meat
binh thương,normal
chi thi,directive
ksô,number
năr,day
đơng,of
Bô Chinh Tri,Politburo
"""Pôk xuôn tơdrong thu 'yŏk đĕi",Enhancement
kêt nap,recruit
đang viên,member
ngo hnhĕi,review
đang viên,member
Đang,Party
tơdrong thu 'yŏk đĕi,quality
tơdrong thu 'yŏk đĕh,quality
đak pơluk,pool
pơluk,pool
keh kong,perfect
rim,areas
apung,areas
'yŭ lĭch,tourism
jĭt vŭ,services
sinh thăi,ecological
jê̆,coastal
đâm,lagoon
Thi Nai,Thị Nại
Vĭnh,bay
Mai Hương,Mai Hương
rây,pest
ksê,green
kung,also
tơdrong,agent
trŭn,transmit
jĭ,disease
virus,virus
ăn,to
'long lơngơ̆u,sesame
lơngơ̆u,sesame
minh lơ̆m,one
rim,the
loai,kinds
phong tri,control
minh,each
đoan,group
ơĭ tơdrong,can
đăng kyê,register
tham gia,participate
'biêu diên,perform
lơ̆m,at
rim,the
chương trinh,programs
lơ̆m,in
liên hoan,festival
inh,I
inh,I
măt,name
hăn như,where
hăn như,where
tơdrong,feature
thưk vât,plant
nho,grape
mô hinh,model
rong,raise
ka chep gion,crispy carp
tơdrong,characteristic
nai,other
thương,usual
đô sa,food
trân,battle
bom,bomb
krê,plane
giăc,enemy
thê ky,century
nguyên ven,intact
lai xuâ̆t,interest
ăn,give
xương,factory
măy mok,machinery
thiê̆t 'bĭ,equipment
triê̆u đông,million
kơ sơ,facility
sa hôi,society
hnam uĕi,housing
kông nhân,worker
apung kông nghêp,industrial zone
kyê tŭk sa,dormitory
'yi 'yơĭ,relocate
hnam măy,plant
pơm,process
thuy san,seafood
uĕi,at
nôi thanh,urban
Quy Nhơn,Quy Nhon
tơmưt,into
kŭm,cluster
kông nghiêp,industrial
pơnhôm,concentrated
adrung 'yĕr,chicken coop
adrung,coop
'yĕr,chicken
tri ân,gratitude
đang viên,member
kăi,plow
'bưa,harrow
ky,meticulous
'nhăt,grass
băp cai,cabbage
cai thao,cabbage
suplơ,supervisor
amrĕ 'ngam,pepper
'bum cai,turnip
sa lach,lettuce
ngŏ hnhĕi,monitoring
xac xuât,probability
jư,surplus
lương,amount
san phâm,product
mơkai đak,cucumber
khô kua,bittermelon
hla muô̆ng,water spinach
amrĕ,chili
xem rong,animal
tiêm phong,vaccination
vaccine,vaccine
gloh bơl gloh kơniêh,foot-and-mouth disease
đat,achieved
ty lê,rate
kon,child
thương 'binh,wounded soldier
kach mang,revolution
tông,total
khơĭ nghia,rebellion
sơnăm,year
đơng rong,after
xuât ngu,discharge
sư,return
apung,homeland
'bet,except
đơ̆i,can
lêh,demon
lêh,demon
lêm,fierce
phân,part
mĭr,very
to,that
'noh,then
liêm,beautiful
adrol,before
pho,vice
chu tich,president
UBND,council
huyên,district
jơh,has
ghi yok,acknowledged
jrơ̆u,mixed
pung,fermented
'nhă 'long,sawdust
kơpưng,on
pra,price
hnam san,stilt house
jah,or
hnam teh,real estate
'băng,black magic
'băng,charm
'băng,magic
gach nung,brick
kjung,increase
giay,shoes
dep,sandal
nông cu,tool
amông,room
pơtơ̆p,universal
klơi,swim
'bău,lake
jĭÊng đak,well
bê đak,reservoir
thoi,or
đak jơrŭ,deep
treng kram,bamboo
pơnih,wall
pra,floor
đen,lamp
sra,lime
'bôt,powder
vi sinh,microbial
xăng,gasoline
jơ̆u,oil
jơ̆u,lubricant
jơ̆u,oil
thư̆ 'bal,Monday
thư̆ pêng,Tuesday
thư̆ puôn,Wednesday
thư̆ pơđăm,Thursday
thư̆ dơdrơ̆u,Friday
thư̆ tơpơh,Saturday
chu nhơ̆t,Sunday
tơdrong pơm,activity
triê̆u,million
'băl,two
ơbơ̆u,thousand
hriêng,hundred
minh jĭt pơđăm,fifteen
minh jĭt,ten
jĭt,ten
drơ̆u,6
drơ̆u,six
tơxĭnh,9
tơxĭnh,nine
chinh tri,politics
tơmăn tơl,ensure
cham pơlĕi,rural
weng,and
